Artist Name,Track Name,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_in min/ms,time_signature,Class,index
Lil Nas X,MONTERO ,100,0.61,0.508,8,-6.682,0,0.152,0.297,0,0.384,0.758,178.818,137876,4,Pop,0
Måneskin,Beggin',100,0.714,0.8,11,-4.808,0,0.0504,0.127,0,0.359,0.589,134.002,3.526,4,Pop,1
Olivia Rodrigo,good 4 u,99,0.563,0.664,9,-5.044,1,0.154,0.335,0,0.0849,0.688,166.928,2.96911667,4,Pop,2
Doja Cat,Kiss Me More ,98,0.762,0.701,8,-3.541,1,0.0286,0.235,0.000158,0.123,0.742,110.968,208867,4,HipHop,3
Masked Wolf,Astronaut In The Ocean,97,0.778,0.695,4,-6.865,0,0.0913,0.175,0,0.15,0.472,149.996,132780,4,Pop,4
"The Kid LAROI, Justin Bieber",STAY ,97,0.591,0.764,1,-5.484,1,0.0483,0.0383,0,0.103,0.478,169.928,2.36343333,4,Pop,5
Ed Sheeran,Bad Habits,97,0.808,0.897,11,-3.712,0,0.0348,0.0469,3.14E-05,0.364,0.591,126.026,3.85068333,4,Pop,6
BTS,Butter,96,0.759,0.459,8,-5.187,1,0.0948,0.00323,0,0.0906,0.695,109.997,2.7407,4,Pop,7
Polo G,RAPSTAR,96,0.789,0.536,6,-6.862,1,0.242,0.41,0,0.129,0.437,81.039,165926,4,HipHop,8
BTS,Permission to Dance,95,0.702,0.741,9,-5.33,1,0.0427,0.00544,0,0.337,0.646,124.925,3.12641667,4,Pop,9
Måneskin,I WANNA BE YOUR SLAVE,95,0.75,0.608,1,-4.008,1,0.0387,0.00165,0,0.178,0.958,132.507,2.88911667,4,Pop,10
"Justin Bieber, Daniel Caesar, Giveon",Peaches ,95,0.677,0.696,0,-6.181,1,0.119,0.321,0,0.42,0.464,90.03,3.301366667,4,Pop,11
Olivia Rodrigo,deja vu,95,0.439,0.61,9,-7.236,1,0.116,0.593,1.07E-05,0.341,0.172,181.088,215508,4,Pop,12
Los Legendarios,Fiel,95,0.849,0.701,6,-4.407,0,0.06,0.407,0,0.112,0.505,98.005,261667,4,Pop,13
Rauw Alejandro,Todo De Ti,95,0.78,0.718,3,-3.605,0,0.0506,0.31,0.000163,0.0932,0.342,127.949,3.32673333,4,Pop,14
Olivia Rodrigo,drivers license,95,0.585,0.436,10,-8.761,1,0.0601,0.721,1.31E-05,0.105,0.132,143.874,242014,4,Pop,15
Olivia Rodrigo,traitor,94,0.38,0.339,3,-7.885,1,0.0338,0.691,0,0.12,0.0849,100.607,3.82045,4,Pop,16
The Weeknd,Save Your Tears (Remix),94,0.65,0.825,0,-4.645,1,0.0325,0.0215,2.44E-05,0.0936,0.593,118.091,191014,4,Pop,17
Riton,Friday,94,0.824,0.862,2,-3.424,1,0.126,0.0076,0.000132,0.303,0.801,122.98,169153,4,Pop,18
Ti√´sto,The Business,94,0.798,0.62,8,-7.079,0,0.232,0.414,0.0192,0.112,0.235,120.031,164000,4,Pop,19
The Weeknd,Save Your Tears,93,0.68,0.826,0,-5.487,1,0.0309,0.0212,1.24E-05,0.543,0.644,118.051,215627,4,Pop,20
Billie Eilish,Your Power,93,0.634,0.285,9,-14.007,0,0.0807,0.937,0.000359,0.232,0.203,129.65,245897,4,Pop,21
Nio Garcia,Am,93,0.83,0.517,6,-6.416,0,0.333,0.399,8.95E-05,0.0916,0.616,171.959,182496,4,Pop,22
"Bruno Mars, Anderson .Paak, Silk Sonic",Leave The Door Open,92,0.586,0.616,5,-7.964,1,0.0324,0.182,0,0.0927,0.719,148.088,4.03493333,4,Pop,23
Doja Cat,Streets,92,0.749,0.463,11,-8.433,1,0.0828,0.208,0.0371,0.337,0.19,90.028,226987,4,HipHop,24
Olivia Rodrigo,favorite crime,92,0.369,0.272,9,-10.497,1,0.0364,0.866,0,0.147,0.218,172.929,2.54445,4,Pop,25
The Kid LAROI,WITHOUT YOU,91,0.662,0.413,0,-7.357,1,0.0299,0.213,0,0.134,0.467,93.005,161385,4,Pop,26
24kGoldn,Mood ,91,0.701,0.716,7,-3.671,0,0.0361,0.174,0,0.324,0.732,91.007,140533,4,Pop,27
ATB,Your Love ,91,0.669,0.784,7,-5.603,1,0.112,0.194,6.28E-06,0.115,0.517,125.993,150053,4,Pop,28
Post Malone,Motley Crew,90,0.797,0.631,3,-3.818,0,0.0786,0.0904,3.71E-06,0.0998,0.288,129.915,3.07021667,4,Pop,29
Tion Wayne,Body ,90,0.883,0.674,11,-8.043,0,0.357,0.21,0,0.0678,0.73,141.02,278085,4,HipHop,30
Joel Corry,Head & Heart ,90,0.734,0.874,8,-3.158,1,0.0662,0.168,1.14E-05,0.0489,0.905,122.953,166028,4,Pop,31
Bella Poarch,Build a Bitch,90,0.855,0.463,3,-7.454,1,0.0367,0.217,1.77E-05,0.347,0.866,102.931,2.04621667,4,Pop,32
Cardi B,Up,90,0.868,0.795,11,-6.044,1,0.269,0.0012,0.0193,0.0461,0.819,166,156945,4,Pop,33
Harry Styles,Watermelon Sugar,90,0.548,0.816,0,-4.209,1,0.0465,0.122,0,0.335,0.557,95.39,174000,4,Pop,34
"Dua Lipa, DaBaby",Levitating ,90,0.702,0.825,6,-3.787,0,0.0601,0.00883,0,0.0674,0.915,102.977,3.3844,4,Pop,35
"Majestic, Boney M.",Rasputin,89,0.758,0.913,6,-2.926,0,0.113,0.00364,6.92E-05,0.193,0.658,128.04,3.1035,4,Pop,36
Saweetie,Best Friend ,89,0.84,0.766,4,-4.12,1,0.136,0.00302,3.61E-06,0.0684,0.402,94.018,155884,4,Pop,37
Sech,911,89,0.795,0.655,7,-3.815,1,0.0422,0.076,1.76E-06,0.296,0.744,93.029,215891,4,Pop,38
"Galantis, David Guetta, Little Mix",Heartbreak Anthem ,89,0.595,0.784,1,-4.878,1,0.102,0.216,0,0.0608,0.479,124.111,3.0621,4,Pop,39
SZA,Good Days,89,0.436,0.655,1,-8.37,0,0.0583,0.499,8.10E-06,0.688,0.412,121.002,279204,4,HipHop,40
BTS,Dynamite,89,0.746,0.765,6,-4.41,0,0.0993,0.0112,0,0.0936,0.737,114.044,199054,4,Pop,41
AURORA,Runaway,89,0.422,0.302,11,-9.214,1,0.0372,0.629,7.83E-05,0.104,0.123,114.089,248827,4,Alt_Music,42
Ariana Grande,positions,89,0.737,0.802,0,-4.771,1,0.0878,0.468,0,0.0931,0.682,144.015,172325,4,Pop,43
